Step,chain_no,chain_size,Student,From,To
1,14,10,Nancey Mcgilvray,V1417 Time and Place: 1956: The Battle of Algiers,V1449 Time and Place: 1948: The Arab-Israeli Conflict
2,14,10,Mora Chillemi,V1449 Time and Place: 1948: The Arab-Israeli Conflict,V1331 Time and Place: 1942: Holocaust
3,14,10,Felisha Hauk,V1331 Time and Place: 1942: Holocaust,V1330 Time and Place: 1938: Kristallnacht
4,14,10,Marinda Ishida,V1330 Time and Place: 1938: Kristallnacht,V1425 Time and Place: 1861: The Coming of the American Civil War
5,14,10,Sarita Semple,V1425 Time and Place: 1861: The Coming of the American Civil War,V1474 Time and Place: 1453: The European Renaissance
6,14,10,Tatum Gao,V1474 Time and Place: 1453: The European Renaissance,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis
7,14,10,Nikita Saito,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis,"V1373 Time and Place 1851: Science, Empire and Exhibitionism"
8,14,10,Rosalina Finck,"V1373 Time and Place 1851: Science, Empire and Exhibitionism",V1464 Time and Place: 1981: The Iran Hostage Crisis
9,14,10,Caterina Theberge,V1464 Time and Place: 1981: The Iran Hostage Crisis,V1404 Time and Place: 1968: Rivers of Blood
10,14,10,Jessia Estey,V1404 Time and Place: 1968: Rivers of Blood,V1417 Time and Place: 1956: The Battle of Algiers
1,6,9,Nancey Mcgilvray,V1417 Time and Place: 1956: The Battle of Algiers,V1449 Time and Place: 1948: The Arab-Israeli Conflict
2,6,9,Joseph Upchurch,V1449 Time and Place: 1948: The Arab-Israeli Conflict,V1425 Time and Place: 1861: The Coming of the American Civil War
3,6,9,Sarita Semple,V1425 Time and Place: 1861: The Coming of the American Civil War,V1474 Time and Place: 1453: The European Renaissance
4,6,9,Tatum Gao,V1474 Time and Place: 1453: The European Renaissance,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis
5,6,9,Wilber Chagnon,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis,V1330 Time and Place: 1938: Kristallnacht
6,6,9,Vernie Bodily,V1330 Time and Place: 1938: Kristallnacht,"V1373 Time and Place 1851: Science, Empire and Exhibitionism"
7,6,9,Rosalina Finck,"V1373 Time and Place 1851: Science, Empire and Exhibitionism",V1464 Time and Place: 1981: The Iran Hostage Crisis
8,6,9,Caterina Theberge,V1464 Time and Place: 1981: The Iran Hostage Crisis,V1404 Time and Place: 1968: Rivers of Blood
9,6,9,Jessia Estey,V1404 Time and Place: 1968: Rivers of Blood,V1417 Time and Place: 1956: The Battle of Algiers
1,11,9,Nancey Mcgilvray,V1417 Time and Place: 1956: The Battle of Algiers,V1449 Time and Place: 1948: The Arab-Israeli Conflict
2,11,9,Mora Chillemi,V1449 Time and Place: 1948: The Arab-Israeli Conflict,V1331 Time and Place: 1942: Holocaust
3,11,9,Felisha Hauk,V1331 Time and Place: 1942: Holocaust,V1330 Time and Place: 1938: Kristallnacht
4,11,9,Marinda Ishida,V1330 Time and Place: 1938: Kristallnacht,V1425 Time and Place: 1861: The Coming of the American Civil War
5,11,9,Jamal Bachelder,V1425 Time and Place: 1861: The Coming of the American Civil War,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis
6,11,9,Nikita Saito,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis,"V1373 Time and Place 1851: Science, Empire and Exhibitionism"
7,11,9,Rosalina Finck,"V1373 Time and Place 1851: Science, Empire and Exhibitionism",V1464 Time and Place: 1981: The Iran Hostage Crisis
8,11,9,Caterina Theberge,V1464 Time and Place: 1981: The Iran Hostage Crisis,V1404 Time and Place: 1968: Rivers of Blood
9,11,9,Jessia Estey,V1404 Time and Place: 1968: Rivers of Blood,V1417 Time and Place: 1956: The Battle of Algiers
1,1,8,Nancey Mcgilvray,V1417 Time and Place: 1956: The Battle of Algiers,V1449 Time and Place: 1948: The Arab-Israeli Conflict
2,1,8,Joseph Upchurch,V1449 Time and Place: 1948: The Arab-Israeli Conflict,V1425 Time and Place: 1861: The Coming of the American Civil War
3,1,8,Jamal Bachelder,V1425 Time and Place: 1861: The Coming of the American Civil War,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis
4,1,8,Wilber Chagnon,V1428 Time and Place 2015: Fortress Europe and the Migration Crisis,V1330 Time and Place: 1938: Kristallnacht
5,1,8,Vernie Bodily,V1330 Time and Place: 1938: Kristallnacht,"V1373 Time and Place 1851: Science, Empire and Exhibitionism"
6,1,8,Rosalina Finck,"V1373 Time and Place 1851: Science, Empire and Exhibitionism",V1464 Time and Place: 1981: The Iran Hostage Crisis
7,1,8,Caterina Theberge,V1464 Time and Place: 1981: The Iran Hostage Crisis,V1404 Time and Place: 1968: Rivers of Blood
8,1,8,Jessia Estey,V1404 Time and Place: 1968: Rivers of Blood,V1417 Time and Place: 1956: The Battle of Algiers
